threads_used,computation_type,non_zero_values,time_used,FLOPS,MFLOPS,GFLOPS
1,serial_csr,8580313,0.0194798572920263,880942079.9517040252685547,880.9420799517039313,0.8809420799517040
1,serial_hll,8580313,0.0211926233023405,809745247.4467748403549194,809.7452474467747834,0.8097452474467749
2,parallel_open_mp_csr,8580313,0.0118445418775082,1448821421.5010421276092529,1448.8214215010420958,1.4488214215010422
3,parallel_open_mp_csr,8580313,0.0074803247116506,2294101748.4538226127624512,2294.1017484538224380,2.2941017484538229
4,parallel_open_mp_csr,8580313,0.0059946803376079,2862642381.8368000984191895,2862.6423818367998138,2.8626423818368001
5,parallel_open_mp_csr,8580313,0.0053765121847391,3191776640.7578024864196777,3191.7766407578023973,3.1917766407578028
6,parallel_open_mp_csr,8580313,0.0050457501783967,3401005874.8990278244018555,3401.0058748990277309,3.4010058748990279
7,parallel_open_mp_csr,8580313,0.0050174258649349,3420205193.2505397796630859,3420.2051932505396508,3.4202051932505402
8,parallel_open_mp_csr,8580313,0.0048780771903694,3517907841.6142487525939941,3517.9078416142488095,3.5179078416142491
9,parallel_open_mp_csr,8580313,0.0049661556258798,3455515149.4995608329772949,3455.5151494995607209,3.4555151494995608
10,parallel_open_mp_csr,8580313,0.0050170239992440,3420479153.0967302322387695,3420.4791530967299877,3.4204791530967302
11,parallel_open_mp_csr,8580313,0.0059683439321816,2875274313.1087136268615723,2875.2743131087136135,2.8752743131087137
12,parallel_open_mp_csr,8580313,0.0058022257871926,2957593625.1703844070434570,2957.5936251703842572,2.9575936251703845
13,parallel_open_mp_csr,8580313,0.0057620289735496,2978226260.0162653923034668,2978.2262600162653143,2.9782262600162657
14,parallel_open_mp_csr,8580313,0.0056599676609039,3031930044.1478753089904785,3031.9300441478753783,3.0319300441478756
15,parallel_open_mp_csr,8580313,0.0055036507546902,3118044142.8584184646606445,3118.0441428584181267,3.1180441428584187
16,parallel_open_mp_csr,8580313,0.0053542829118669,3205027878.1433539390563965,3205.0278781433539734,3.2050278781433543
17,parallel_open_mp_csr,8580313,0.0052208784036338,3286923133.0988039970397949,3286.9231330988036461,3.2869231330988042
18,parallel_open_mp_csr,8580313,0.0052260290831327,3283683601.2617559432983398,3283.6836012617559390,3.2836836012617563
19,parallel_open_mp_csr,8580313,0.0051994067616761,3300496919.4731988906860352,3300.4969194731988864,3.3004969194731992
20,parallel_open_mp_csr,8580313,0.0048414692282677,3544507915.0364151000976562,3544.5079150364149427,3.5445079150364154
